# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)rho_ur             14:(.)rho_crit           15:U                     16:U_prime               17:V                     18:V_prime               19:gr.fac. D             20:gr.fac. f          
       7.725197468684e+13       1.266068433645e-25       5.997208063491e-09       1.288067725339e+22       1.416699289572e+04       1.833868060092e-10       1.094428176569e+18       3.462663298181e-09       9.806998085426e+43       1.138268362150e+33       6.150445093366e+33       6.769909949452e+43       1.427661499897e+41       1.659118465061e+44       3.409986639587e-12       4.430257605864e-03       3.938963353999e-66       1.177104450225e-56       8.992527837449e-18       1.999999999984e+00 
       7.671496989756e+13       1.283855429070e-25       6.039044819772e-09       1.270222371246e+22       1.416699289572e+04       1.846705136513e-10       1.086820433534e+18       3.486901941268e-09       9.537141107086e+43       1.114695513780e+33       6.023073100593e+33       6.583623847764e+43       1.388376856921e+41       1.613464872413e+44       3.597893782327e-12       4.521101548739e-03       4.457218762484e-66       1.293053934140e-56       9.118863861036e-18       1.999999999983e+00 
       7.618169801148e+13       1.301892313993e-25       6.080881576054e-09       1.252624253114e+22       1.416699289572e+04       1.859632072468e-10       1.079265574513e+18       3.511310254857e-09       9.274709723012e+43       1.091610844822e+33       5.898338904647e+33       6.402463739176e+43       1.350173200701e+41       1.569067519489e+44       3.790930156907e-12       4.610687238383e-03       5.029911267090e-66       1.417535666217e-56       9.246974779419e-18       1.999999999983e+00 
       7.565213307992e+13       1.320182599112e-25       6.124537321739e-09       1.235269945648e+22       1.416699289572e+04       1.872649496975e-10       1.071763231889e+18       3.535889426640e-09       9.019499604785e+43       1.069004245376e+33       5.776187878351e+33       6.226288572877e+43       1.313020785965e+41       1.525891838621e+44       3.989105133021e-12       4.699031495037e-03       5.661505993076e-66       1.551003159741e-56       9.376885528094e-18       1.999999999982e+00 
       7.512624933457e+13       1.338729844447e-25       6.166374078020e-09       1.218156071006e+22       1.416699289572e+04       1.885758043454e-10       1.064313040605e+18       3.560640652627e-09       8.771312046443e+43       1.046865814913e+33       5.656566525827e+33       6.054961179325e+43       1.276890685938e+41       1.483904213330e+44       4.192428385173e-12       4.786152291459e-03       6.356752275989e-66       1.693927946715e-56       9.508621392877e-18       1.999999999981e+00 
       7.460402118627e+13       1.357537660031e-25       6.210029823706e-09       1.201279298147e+22       1.416699289572e+04       1.898958349758e-10       1.056914638138e+18       3.585565137195e-09       8.529953809772e+43       1.025185857937e+33       5.539422459063e+33       5.888348163437e+43       1.241754769812e+41       1.443071952156e+44       4.400909740711e-12       4.872064480751e-03       7.120698296697e-66       1.846800217326e-56       9.642208014824e-18       1.999999999981e+00 
       7.408542322370e+13       1.376609706617e-25       6.253685569391e-09       1.184636342176e+22       1.416699289572e+04       1.912251058207e-10       1.049567664487e+18       3.610664093155e-09       8.295236973852e+43       1.003954879738e+33       5.424704374972e+33       5.726319800735e+43       1.207585680851e+41       1.403363263204e+44       4.614559374996e-12       4.956788008694e-03       7.958706385879e-66       2.010129479494e-56       9.777671395223e-18       1.999999999980e+00 
       7.357043021222e+13       1.395949696385e-25       6.297341315076e-09       1.168223963710e+22       1.416699289572e+04       1.925636815614e-10       1.042271762152e+18       3.635938741807e-09       8.066978788740e+43       9.831635822396e+32       5.312362032921e+33       5.568749936341e+43       1.174356815087e+41       1.364747229386e+44       4.833387697540e-12       5.040337029253e-03       8.876469027774e-66       2.184445242656e-56       9.915037900653e-18       1.999999999980e+00 
       7.305901709257e+13       1.415561393669e-25       6.340997060761e-09       1.152038968245e+22       1.416699289572e+04       1.939116273323e-10       1.035026576119e+18       3.661390312999e-09       7.845001533182e+43       9.628028599195e+32       5.202346232733e+33       5.415515886751e+43       1.142042300610e+41       1.327193784356e+44       5.057405380901e-12       5.122729186789e-03       9.880025592392e-66       2.370297721754e-56       1.005433426812e-17       1.999999999979e+00 
       7.255115897971e+13       1.435448615689e-25       6.386471795850e-09       1.136078205536e+22       1.416699289572e+04       1.952690087237e-10       1.027831753842e+18       3.687020045190e-09       7.629132376241e+43       9.428637958269e+32       5.094608793134e+33       5.266498344316e+43       1.110616977418e+41       1.290673689094e+44       5.286623315410e-12       5.203980948111e-03       1.097577982707e-65       2.568258565258e-56       1.019558761025e-17       1.999999999979e+00 
