#scalar perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:dU_nlde               22:dV_nlde            
       2.239459796296e+02       6.816875839362e-04      -2.524301359412e+00       4.348939299824e-03       1.937872109951e-03       4.570533253206e-03       1.188400796161e-05       9.141583913364e-04      -1.893829667503e+00       4.366541380172e-03       5.467509745581e-01       5.737164613465e-01      -2.377711378491e+00       2.480930123419e-03       1.158600743596e-01      -2.014782060083e+00       6.220296151891e-03      -2.371347420809e+00       2.497473793552e-03       1.153495405165e-01      -1.329481498920e-01       6.925815606871e-11 
       2.246034168398e+02       6.842731678641e-04      -2.529623513656e+00       4.351586428638e-03       1.965920386748e-03       4.626274255974e-03       1.219461203290e-05       9.253086217173e-04      -1.897832984605e+00       4.369584170073e-03       5.465134175873e-01       5.733392653701e-01      -2.381389799564e+00       2.469268609372e-03       1.161046661685e-01      -2.020008108313e+00       6.235522697225e-03      -2.374974231940e+00       2.486058092844e-03       1.155908645741e-01      -1.355335374332e-01       7.021249811414e-11 
       2.252712808758e+02       6.869032640372e-04      -2.535030889388e+00       4.354218109070e-03       1.995616846110e-03       4.684960123284e-03       1.252703086949e-05       9.370479976034e-04      -1.901900675349e+00       4.372634769835e-03       5.462717597464e-01       5.729564714736e-01      -2.385114510503e+00       2.457320432833e-03       1.163498253820e-01      -2.025326131935e+00       6.250973834628e-03      -2.378646094852e+00       2.474363201396e-03       1.158327154841e-01      -1.381677525402e-01       7.119204170492e-11 
       2.264831485610e+02       6.916847070570e-04      -2.544844691059e+00       4.358844672006e-03       2.052718858858e-03       4.796995817200e-03       1.317681728667e-05       9.594595286331e-04      -1.909283826997e+00       4.378068699997e-03       5.458011146179e-01       5.722628741743e-01      -2.391841814819e+00       2.435379595144e-03       1.167860922628e-01      -2.034999244749e+00       6.278967091114e-03      -2.385746337424e+00       2.451352072793e-03       1.162931913084e-01      -1.429675175728e-01       7.299558454552e-11 
       2.266232128363e+02       6.922380827927e-04      -2.545979086126e+00       4.359367165548e-03       2.059593904344e-03       4.810420697615e-03       1.325600322078e-05       9.621450477348e-04      -1.910137322668e+00       4.378688052303e-03       5.457501430074e-01       5.721827937549e-01      -2.392616710668e+00       2.432822185819e-03       1.168357970974e-01      -2.036119171318e+00       6.282198858295e-03      -2.386511248131e+00       2.448841548759e-03       1.163422242297e-01      -1.435238950239e-01       7.320621828497e-11 
       2.267637929799e+02       6.927936529083e-04      -2.547117687073e+00       4.359888972209e-03       2.066552908123e-03       4.823996352506e-03       1.333636597574e-05       9.648607314972e-04      -1.910993996400e+00       4.379308016728e-03       5.456989676545e-01       5.721024359083e-01      -2.393393909798e+00       2.430250882171e-03       1.168855348511e-01      -2.037243625230e+00       6.285441775131e-03      -2.387278420794e+00       2.446317408336e-03       1.163912885927e-01      -1.440826593986e-01       7.341808529776e-11 
       2.269048956990e+02       6.933514456452e-04      -2.548260547935e+00       4.360410093648e-03       2.073597205996e-03       4.837725141499e-03       1.341792895538e-05       9.676070520766e-04      -1.911853889132e+00       4.379928593316e-03       5.456475859295e-01       5.720217970215e-01      -2.394173442225e+00       2.427665516005e-03       1.169353060544e-01      -2.038372664413e+00       6.288695987981e-03      -2.388047884309e+00       2.443779486242e-03       1.164403848848e-01      -1.446438403308e-01       7.363120139124e-11 
       2.270465278124e+02       6.939114897224e-04      -2.549407723642e+00       4.360930529308e-03       2.080728160943e-03       4.851609463337e-03       1.350071611722e-05       9.703844894587e-04      -1.912717042483e+00       4.380549786590e-03       5.455959951583e-01       5.719408734224e-01      -2.394955338432e+00       2.425065916131e-03       1.169851112383e-01      -2.039506347784e+00       6.291961645600e-03      -2.388819666801e+00       2.441227613010e-03       1.164895135335e-01      -1.452074679598e-01       7.384558266260e-11 
       2.271886962527e+02       6.944738143473e-04      -2.550559270042e+00       4.361450276940e-03       2.087947163675e-03       4.865651757013e-03       1.358475198905e-05       9.731935316866e-04      -1.913583498767e+00       4.381171604398e-03       5.455441926220e-01       5.718596613788e-01      -2.395739629377e+00       2.422451908299e-03       1.170349509343e-01      -2.040644735259e+00       6.295238899188e-03      -2.389593797377e+00       2.438661616716e-03       1.165386749918e-01      -1.457735729413e-01       7.406124550562e-11 
       2.273314080692e+02       6.950384492257e-04      -2.551715243918e+00       4.361969332983e-03       2.095255633243e-03       4.879854502924e-03       1.367006168627e-05       9.760346750906e-04      -1.914453301007e+00       4.381794057078e-03       5.454921755557e-01       5.717781570969e-01      -2.396526346507e+00       2.419823315129e-03       1.170848256740e-01      -2.041787887782e+00       6.298527902449e-03      -2.390370306190e+00       2.436081322963e-03       1.165878697405e-01      -1.463421864581e-01       7.427820661752e-11 
       2.274746704300e+02       6.956054245731e-04      -2.552875703009e+00       4.362487692836e-03       2.102655017697e-03       4.894220224031e-03       1.375667092983e-05       9.789084245218e-04      -1.915326492954e+00       4.382417156851e-03       5.454399411478e-01       5.716963567200e-01      -2.397315521760e+00       2.417179956046e-03       1.171347359890e-01      -2.042935867347e+00       6.301828811635e-03      -2.391149224472e+00       2.433486554838e-03       1.166370982895e-01      -1.469133402322e-01       7.449648300604e-11 
       2.276184906247e+02       6.961747711258e-04      -2.554040706030e+00       4.363005351057e-03       2.110146794792e-03       4.908751487053e-03       1.384460606496e-05       9.818152935898e-04      -1.916203119097e+00       4.383040917377e-03       5.453874865386e-01       5.716142563270e-01      -2.398107187583e+00       2.414521647199e-03       1.171846824109e-01      -2.044088737018e+00       6.305141785607e-03      -2.391930584582e+00       2.430877132866e-03       1.166863611789e-01      -1.474870665360e-01       7.471609199681e-11 
