#scalar perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]      
       2.275884033753e+02       6.947528301951e-04      -2.554232572642e+00       4.363788418224e-03       2.087871625564e-03       4.865222823088e-03       1.357545402798e-05       9.731076619220e-04      -1.916342735739e+00       4.383607712762e-03       5.452211730455e-01       5.715725224111e-01      -2.398260143501e+00       2.414368967408e-03       1.171875482889e-01      -2.044247915555e+00       6.306673585742e-03      -2.393751376039e+00       2.426229643555e-03       1.168267854988e-01 
       2.277310373981e+02       6.953159090232e-04      -2.555389412692e+00       4.364298941801e-03       2.095182586575e-03       4.879435102530e-03       1.366077793196e-05       9.759507118276e-04      -1.917213200075e+00       4.384222044160e-03       5.451689862129e-01       5.714907994444e-01      -2.399045945551e+00       2.411724780939e-03       1.172369248931e-01      -2.045392865060e+00       6.309959913645e-03      -2.394529649876e+00       2.423620712228e-03       1.168756726103e-01 
       2.278742219552e+02       6.958813220807e-04      -2.556550742713e+00       4.364808733984e-03       2.102584293397e-03       4.893810219567e-03       1.374739989919e-05       9.788263402254e-04      -1.918087057789e+00       4.384837004299e-03       5.451165813771e-01       5.714087791860e-01      -2.399834201832e+00       2.409065774170e-03       1.172863347470e-01      -2.046542650787e+00       6.313258143963e-03      -2.395310341579e+00       2.420997173054e-03       1.169245917049e-01 
       2.280179643187e+02       6.964490999560e-04      -2.557716621343e+00       4.365317789970e-03       2.110078218313e-03       4.908350729548e-03       1.383534619085e-05       9.817350584501e-04      -1.918964353318e+00       4.385452603965e-03       5.450639556825e-01       5.713264577095e-01      -2.400624944644e+00       2.406391762824e-03       1.173357783461e-01      -2.047697335788e+00       6.316568435109e-03      -2.396093483831e+00       2.418358845400e-03       1.169735433071e-01 
       2.281622718844e+02       6.970192737661e-04      -2.558887108216e+00       4.365826103942e-03       2.117665863980e-03       4.923059232688e-03       1.392464371000e-05       9.846773868178e-04      -1.919845131855e+00       4.386068855709e-03       5.450111062292e-01       5.712438310225e-01      -2.401418206802e+00       2.403702559275e-03       1.173852561848e-01      -2.048856984205e+00       6.319890948145e-03      -2.396879110487e+00       2.415705546010e-03       1.170225279730e-01 
       2.283071521719e+02       6.975918751579e-04      -2.560062263960e+00       4.366333669240e-03       2.125348764066e-03       4.937938375014e-03       1.401532001994e-05       9.876538548153e-04      -1.920729439348e+00       4.386685773434e-03       5.449580300715e-01       5.711608950673e-01      -2.402214021628e+00       2.400997972529e-03       1.174347687556e-01      -2.050021661278e+00       6.323225846781e-03      -2.397667256411e+00       2.413037088810e-03       1.170715462818e-01 
       2.284526127619e+02       6.981669360632e-04      -2.561242149693e+00       4.366840478269e-03       2.133128480568e-03       4.952990842876e-03       1.410740332355e-05       9.906650000015e-04      -1.921617322123e+00       4.387303371819e-03       5.449047242207e-01       5.710776457560e-01      -2.403012422608e+00       2.398277809356e-03       1.174843165264e-01      -2.051191432845e+00       6.326573295937e-03      -2.398457954367e+00       2.410353283248e-03       1.171205986774e-01 
       2.285986613325e+02       6.987444888397e-04      -2.562426827310e+00       4.367346522702e-03       2.141006606279e-03       4.968219367366e-03       1.420092250345e-05       9.937113688924e-04      -1.922508827096e+00       4.387921666249e-03       5.448511856358e-01       5.709940789511e-01      -2.403813443580e+00       2.395541873611e-03       1.175338999520e-01      -2.052366365630e+00       6.329933462555e-03      -2.399251235772e+00       2.407653934201e-03       1.171696855080e-01 
       2.287453056920e+02       6.993245664047e-04      -2.563616359751e+00       4.367851793657e-03       2.148984767272e-03       4.983626728733e-03       1.429590716291e-05       9.967935178443e-04      -1.923404001983e+00       4.388540672787e-03       5.447974112282e-01       5.709101904460e-01      -2.404617118917e+00       2.392789965583e-03       1.175835194842e-01      -2.053546527514e+00       6.333306516368e-03      -2.400047133097e+00       2.404938843578e-03       1.172188071447e-01 
       2.288925537816e+02       6.999072022458e-04      -2.564810811026e+00       4.368356281734e-03       2.157064623793e-03       4.999215757653e-03       1.439238764854e-05       9.999120133078e-04      -1.924302895309e+00       4.389160408071e-03       5.447433978611e-01       5.708259759639e-01      -2.405423483529e+00       2.390021881917e-03       1.176331755717e-01      -2.054731987555e+00       6.336692629946e-03      -2.400845679973e+00       2.402207810341e-03       1.172679639857e-01 
       2.290404136785e+02       7.004924304337e-04      -2.566010246235e+00       4.368859977045e-03       2.165247871199e-03       5.014989336572e-03       1.449039507392e-05       1.003067432097e-03      -1.925205556432e+00       4.389780889228e-03       5.446891423485e-01       5.707414311562e-01      -2.406232572885e+00       2.387237415537e-03       1.176828686594e-01      -2.055922816021e+00       6.340091978763e-03      -2.401646911238e+00       2.399460630454e-03       1.173171564580e-01 
