# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)rho_lambda         14:(.)rho_ur             15:(.)rho_crit           16:gr.fac. D             17:gr.fac. f          
       7.408542322370e+13       1.376610301940e-25       6.253685569391e-09       1.184635829873e+22       1.418607626259e+04       1.914826918077e-10       1.050981463798e+18       3.610665654609e-09       8.295236973852e+43       1.006669494104e+33       5.383985159480e+33       1.908773266912e+43       3.511370374088e-08       3.829610252782e+43       1.403362049418e+44       9.777679852053e-18       1.999999999980e+00 
       7.357043021222e+13       1.395950300072e-25       6.297341315076e-09       1.168223458504e+22       1.418607626259e+04       1.928230706504e-10       1.043675733662e+18       3.635940314191e-09       8.066978788740e+43       9.858219785863e+32       5.272486087720e+33       1.856249978780e+43       3.511370374088e-08       3.724231721856e+43       1.364746049000e+44       9.915046476293e-18       1.999999999980e+00 
       7.305901709257e+13       1.415562005838e-25       6.340997060761e-09       1.152038470039e+22       1.418607626259e+04       1.941728321449e-10       1.036420788145e+18       3.661391896390e-09       7.845001533182e+43       9.654062024880e+32       5.163296094205e+33       1.805171962250e+43       3.511370374088e-08       3.621752868455e+43       1.327192636450e+44       1.005434296424e-17       1.999999999979e+00 
       7.255115897971e+13       1.435449236458e-25       6.386471795850e-09       1.136077714232e+22       1.418607626259e+04       1.955320419700e-10       1.029216274226e+18       3.687021639665e-09       7.629132376241e+43       9.454132247475e+32       5.056367359324e+33       1.755499448105e+43       3.511370374088e-08       3.522093902800e+43       1.290672572775e+44       1.019559642854e-17       1.999999999979e+00 
       7.204683116158e+13       1.455615862781e-25       6.430127541535e-09       1.120338084483e+22       1.418607626259e+04       1.969007662637e-10       1.022061841336e+18       3.712830791142e-09       7.419203242731e+43       9.258342894670e+32       4.951653053779e+33       1.707193761450e+43       3.511370374088e-08       3.425177230668e+43       1.255157423544e+44       1.033883436276e-17       1.999999999978e+00 
       7.154600909790e+13       1.476065810037e-25       6.475602276623e-09       1.104816517233e+22       1.418607626259e+04       1.982790716276e-10       1.014957141347e+18       3.738820606680e-09       7.215050682352e+43       9.066608220779e+32       4.849107318079e+33       1.660217291597e+43       3.511370374088e-08       3.330927392981e+43       1.220619536751e+44       1.048408464672e-17       1.999999999978e+00 
       7.104866841896e+13       1.496803058602e-25       6.521077011712e-09       1.089509991364e+22       1.418607626259e+04       1.996670251290e-10       1.007901828547e+18       3.764992350926e-09       7.016515742429e+43       8.878844255856e+32       4.748685242458e+33       1.614533462785e+43       3.511370374088e-08       3.239271007050e+43       1.187032021283e+44       1.063137555192e-17       1.999999999977e+00 
       7.055478492449e+13       1.517831644772e-25       6.566551746801e-09       1.074415527617e+22       1.418607626259e+04       2.010646943049e-10       1.000895559630e+18       3.791347297383e-09       6.823443844155e+43       8.694968768926e+32       4.650342847201e+33       1.570106705698e+43       3.511370374088e-08       3.150136709442e+43       1.154368725985e+44       1.078073574705e-17       1.999999999977e+00 
       7.006433458242e+13       1.539155661549e-25       6.612026481889e-09       1.059530188006e+22       1.418607626259e+04       2.024721471650e-10       9.939379936738e+17       3.817886728464e-09       6.635684662230e+43       8.514901231962e+32       4.554037063387e+33       1.526902429773e+43       3.511370374088e-08       3.063455100415e+43       1.122604219296e+44       1.093219430356e-17       1.999999999976e+00 
       6.957729352772e+13       1.560779259438e-25       6.659320206381e-09       1.044851075250e+22       1.418607626259e+04       2.038894521952e-10       9.870287921289e+17       3.844611935563e-09       6.453092007824e+43       8.338562784629e+32       4.459725714026e+33       1.484886996271e+43       3.511370374088e-08       2.979158689885e+43       1.091713769451e+44       1.108578070133e-17       1.999999999976e+00 
