#tensor perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:shear_g                5:l4_g                   6:pol0_g                 7:pol2_g                 8:pol4_g                 9:H (gw)                10:Hdot (gwdot)          11:delta_ur              12:shear_ur              13:l4_ur              
       2.284526127619e+02       6.981669360632e-04      -7.035682673763e-03      -9.175392796752e-08      -6.132226801583e-12       1.638906634212e-03       4.303641187721e-08       1.441137720052e-12       1.597358872531e-01      -1.562253721601e-03      -5.076394860359e-01      -1.919088152564e-02      -1.481853254841e-03 
       2.285986613325e+02       6.987444888397e-04      -7.059898160505e-03      -9.269392878904e-08      -6.231553516317e-12       1.643707977762e-03       4.346345278042e-08       1.464402954160e-12       1.595077427170e-01      -1.561974278974e-03      -5.079696995398e-01      -1.923287849084e-02      -1.487179128909e-03 
       2.287453056920e+02       6.993245664047e-04      -7.084415180514e-03      -9.365222203043e-08      -6.333407796998e-12       1.648559470871e-03       4.389829456140e-08       1.488234663792e-12       1.592787086692e-01      -1.561692109419e-03      -5.083008262880e-01      -1.927510249970e-02      -1.492541985537e-03 
       2.288925537816e+02       6.999072022458e-04      -7.109238860748e-03      -9.462927337997e-08      -6.437871697779e-12       1.653462113006e-03       4.434113880354e-08       1.512651294195e-12       1.590487734476e-01      -1.561407179064e-03      -5.086328781772e-01      -1.931755652592e-02      -1.497942334065e-03 
       2.290404136785e+02       7.004924304337e-04      -7.134374427254e-03      -9.562556279772e-08      -6.545030403752e-12       1.658416914638e-03       4.479219285902e-08       1.537671975944e-12       1.588179251948e-01      -1.561119453371e-03      -5.089658672768e-01      -1.936024359735e-02      -1.503380693749e-03 
       2.291888935985e+02       7.010802856349e-04      -7.159827208182e-03      -9.664158504449e-08      -6.654972371969e-12       1.663424897769e-03       4.525167006560e-08       1.563316555482e-12       1.585861518541e-01      -1.560828897120e-03      -5.092998058323e-01      -1.940316679716e-02      -1.508857593996e-03 
       2.293380018995e+02       7.016708031256e-04      -7.185602636918e-03      -9.767785023452e-08      -6.767789479658e-12       1.668487096477e-03       4.571978997278e-08       1.589605627202e-12       1.583534411645e-01      -1.560535474392e-03      -5.096347062678e-01      -1.944632926523e-02      -1.514373574625e-03 
       2.294877470846e+02       7.022640188060e-04      -7.211706255331e-03      -9.873488441195e-08      -6.883577179916e-12       1.673604557462e-03       4.619677857726e-08       1.616560567117e-12       1.581197806570e-01      -1.560239148552e-03      -5.099705811907e-01      -1.948973419942e-02      -1.519929186126e-03 
       2.296381378055e+02       7.028599692142e-04      -7.238143717114e-03      -9.981323015230e-08      -7.002434665356e-12       1.678778340606e-03       4.668286856821e-08       1.644203568221e-12       1.578851576493e-01      -1.559939882230e-03      -5.103074433942e-01      -1.953338485700e-02      -1.525524989927e-03 
       2.297891828656e+02       7.034586915410e-04      -7.264920791255e-03      -1.009134471905e-07      -7.124465040155e-12       1.684009519539e-03       4.717829958295e-08       1.672557677645e-12       1.576495592413e-01      -1.559637637307e-03      -5.106453058615e-01      -1.957728455606e-02      -1.531161558674e-03 
       2.299408912238e+02       7.040602236458e-04      -7.292043365620e-03      -1.020361130769e-07      -7.249775501015e-12       1.689299182220e-03       4.768331847344e-08       1.701646835713e-12       1.574129723099e-01      -1.559332374891e-03      -5.109841817694e-01      -1.962143667694e-02      -1.536839476511e-03 
       2.300932719981e+02       7.046646040715e-04      -7.319517450670e-03      -1.031818238620e-07      -7.378477527545e-12       1.694648431527e-03       4.819817958423e-08       1.731495916996e-12       1.571753835046e-01      -1.559024055298e-03      -5.113240844919e-01      -1.966584466376e-02      -1.542559339384e-03 
       2.302463344692e+02       7.052718720614e-04      -7.347349183291e-03      -1.043511948121e-07      -7.510687082609e-12       1.700058385860e-03       4.872314504223e-08       1.762130773496e-12       1.569367792414e-01      -1.558712638037e-03      -5.116650276045e-01      -1.971051202598e-02      -1.548321755335e-03 
       2.304000880843e+02       7.058820675749e-04      -7.375544830760e-03      -1.055448611570e-07      -7.646524823206e-12       1.705530179755e-03       4.925848505895e-08       1.793578280061e-12       1.566971456982e-01      -1.558398081784e-03      -5.120070248878e-01      -1.975544233995e-02      -1.554127344820e-03 
       2.305545424611e+02       7.064952313055e-04      -7.404110794866e-03      -1.067634788718e-07      -7.786116322644e-12       1.711064964515e-03       4.980447824623e-08       1.825866382216e-12       1.564564688090e-01      -1.558080344365e-03      -5.123500903318e-01      -1.980063925060e-02      -1.559976741034e-03 
       2.307097073921e+02       7.071114046986e-04      -7.433053616171e-03      -1.080077254945e-07      -7.929592304592e-12       1.716663908856e-03       5.036141194582e-08       1.859024146501e-12       1.562147342581e-01      -1.557759382732e-03      -5.126942381404e-01      -1.984610647317e-02      -1.565870590244e-03 
       2.308655928484e+02       7.077306299696e-04      -7.462379978417e-03      -1.092783009813e-07      -8.077088889701e-12       1.722328199565e-03       5.092958257340e-08       1.893081813494e-12       1.559719274742e-01      -1.557435152940e-03      -5.130394827356e-01      -1.989184779491e-02      -1.571809552141e-03 
       2.310222089844e+02       7.083529501228e-04      -7.492096713092e-03      -1.105759286005e-07      -8.228747855580e-12       1.728059042182e-03       5.150929597786e-08       1.928070853655e-12       1.557280336242e-01      -1.557107610126e-03      -5.133858387621e-01      -1.993786707697e-02      -1.577794300191e-03 
       2.311795661422e+02       7.089784089712e-04      -7.522210804153e-03      -1.119013558685e-07      -8.384716910959e-12       1.733857661684e-03       5.210086781672e-08       1.964024026185e-12       1.554830376074e-01      -1.556776708482e-03      -5.137333210922e-01      -1.998416825620e-02      -1.583825522010e-03 
       2.313376748561e+02       7.096070511564e-04      -7.552729392919e-03      -1.132553555289e-07      -8.545149984898e-12       1.739725303204e-03       5.270462394841e-08       2.000975441074e-12       1.552369240485e-01      -1.556442401231e-03      -5.140819448299e-01      -2.003075534714e-02      -1.589903919741e-03 
       2.314965458575e+02       7.102389221693e-04      -7.583659783138e-03      -1.146387265780e-07      -8.710207531947e-12       1.745663232754e-03       5.332090084223e-08       2.038960624517e-12       1.549896772913e-01      -1.556104640602e-03      -5.144317253167e-01      -2.007763244398e-02      -1.596030210450e-03 
       2.316561900797e+02       7.108740683711e-04      -7.615009446223e-03      -1.160522953376e-07      -8.880056854243e-12       1.751672737974e-03       5.395004600691e-08       2.078016587923e-12       1.547412813919e-01      -1.555763377801e-03      -5.147826781356e-01      -2.012480372260e-02      -1.602205126531e-03 
       2.318166186628e+02       7.115125370159e-04      -7.646786026710e-03      -1.174969165801e-07      -9.054872441743e-12       1.757755128901e-03       5.459241843922e-08       2.118181900748e-12       1.544917201116e-01      -1.555418562990e-03      -5.151348191171e-01      -2.017227344273e-02      -1.608429416131e-03 
       2.319778429592e+02       7.121543762737e-04      -7.678997347902e-03      -1.189734747077e-07      -9.234836331645e-12       1.763911738763e-03       5.524838909339e-08       2.159496767391e-12       1.542409769093e-01      -1.555070145252e-03      -5.154881643442e-01      -2.022004595013e-02      -1.614703843583e-03 
       2.321398745392e+02       7.127996352535e-04      -7.711651417726e-03      -1.204828849870e-07      -9.420138488152e-12       1.770143924791e-03       5.591834137221e-08       2.202003108372e-12       1.539890349342e-01      -1.554718072565e-03      -5.158427301580e-01      -2.026812567888e-02      -1.621029189862e-03 
       2.323027251962e+02       7.134483640282e-04      -7.744756434799e-03      -1.220260948439e-07      -9.610977203928e-12       1.776453069055e-03       5.660267164116e-08       2.245744646091e-12       1.537358770180e-01      -1.554362291770e-03      -5.161985331636e-01      -2.031651715375e-02      -1.627406253049e-03 
       2.324664069526e+02       7.141006136594e-04      -7.778320794721e-03      -1.236040852221e-07      -9.807559524635e-12       1.782840579328e-03       5.730178976675e-08       2.290766995444e-12       1.534814856668e-01      -1.554002748542e-03      -5.165555902356e-01      -2.036522499255e-02      -1.633835848816e-03 
       2.326309320657e+02       7.147564362236e-04      -7.812353096611e-03      -1.252178720068e-07      -1.001010169804e-11       1.789307889969e-03       5.801611968056e-08       2.337117759612e-12       1.532258430528e-01      -1.553639387354e-03      -5.169139185241e-01      -2.041425390872e-02      -1.640318810924e-03 
       2.327963130341e+02       7.154158848388e-04      -7.846862149863e-03      -1.268685075191e-07      -1.021882964919e-11       1.795856462832e-03       5.874609996979e-08       2.384846631330e-12       1.529689310059e-01      -1.553272151445e-03      -5.172735354609e-01      -2.046360871384e-02      -1.646855991737e-03 
       2.329625626035e+02       7.160790136919e-04      -7.881856981189e-03      -1.285570820845e-07      -1.043397948356e-11       1.802487788215e-03       5.949218449667e-08       2.434005500036e-12       1.527107310050e-01      -1.552900982789e-03      -5.176344587659e-01      -2.051329432034e-02      -1.653448262760e-03 
       2.331296937739e+02       7.167458780676e-04      -7.917346841923e-03      -1.302847256803e-07      -1.065579801995e-11       1.809203385822e-03       6.025484304802e-08       2.484648565262e-12       1.524512241686e-01      -1.552525822054e-03      -5.179967064533e-01      -2.056331574426e-02      -1.660096515194e-03 
       2.332977198058e+02       7.174165343787e-04      -7.953341215626e-03      -1.320526096662e-07      -1.088454335509e-11       1.816004805771e-03       6.103456201658e-08       2.536832456681e-12       1.521903912455e-01      -1.552146608568e-03      -5.183602968387e-01      -2.061367810812e-02      -1.666801660511e-03 
       2.334666542278e+02       7.180910401959e-04      -7.989849825968e-03      -1.338619486015e-07      -1.112048546199e-11       1.822893629626e-03       6.183184511571e-08       2.590616361226e-12       1.519282126048e-01      -1.551763280280e-03      -5.187252485458e-01      -2.066438664392e-02      -1.673564631053e-03 
       2.336365108435e+02       7.187694542803e-04      -8.026882644927e-03      -1.357140021555e-07      -1.136390682438e-11       1.829871471462e-03       6.264721412942e-08       2.646062157755e-12       1.516646682263e-01      -1.551375773720e-03      -5.190915805139e-01      -2.071544669617e-02      -1.680386380644e-03 
       2.338073037391e+02       7.194518366159e-04      -8.064449901299e-03      -1.376100771156e-07      -1.161510310965e-11       1.836939978969e-03       6.348120969983e-08       2.703234559780e-12       1.513997376897e-01      -1.550984023957e-03      -5.194593120046e-01      -2.076686372509e-02      -1.687267885236e-03 
       2.339790472911e+02       7.201382484430e-04      -8.102562089553e-03      -1.395515294985e-07      -1.187438388284e-11       1.844100834581e-03       6.433439215385e-08       2.762201266771e-12       1.511334001641e-01      -1.550587964554e-03      -5.198284626099e-01      -2.081864330985e-02      -1.694210143562e-03 
       2.341517561744e+02       7.208287522938e-04      -8.141229979024e-03      -1.415397667709e-07      -1.214207336453e-11       1.851355756657e-03       6.520734237171e-08       2.823033124631e-12       1.508656343968e-01      -1.550187527531e-03      -5.201990522592e-01      -2.087079115199e-02      -1.701214177832e-03 
       2.343254453702e+02       7.215234120281e-04      -8.180464623503e-03      -1.435762501875e-07      -1.241851123586e-11       1.858706500689e-03       6.610066269994e-08       2.885804295997e-12       1.505964187022e-01      -1.549782643312e-03      -5.205711012279e-01      -2.092331307895e-02      -1.708281034437e-03 
