# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:lum. dist.gw           9:comov.snd.hrz.        10:(.)rho_g              11:(.)rho_b              12:(.)rho_cdm            13:(.)rho_ncdm[0]        14:(.)rho_ur             15:(.)rho_crit           16:U                     17:U_prime               18:V                     19:V_prime               20:gr.fac. D             21:gr.fac. f          
       8.111774765760e+13       1.148271519256e-25       5.711626727134e-09       1.420205813782e+22       1.416938464321e+04       1.746767514185e-10       1.149388567952e+18       1.149388567952e+18       3.297645523756e-09       1.192233349885e+44       1.319030393681e+33       7.108867092464e+33       8.230156004061e+43       1.735603125134e+41       2.016984553501e+44       2.234679212928e-12       3.752818392781e-03       1.514093834081e-66       5.698689212328e-57       8.155849500278e-18       1.999999999988e+00 
       8.055387056366e+13       1.164403585830e-25       5.751644494012e-09       1.400529771029e+22       1.416938464321e+04       1.758994886784e-10       1.141398776516e+18       1.141398776516e+18       3.320729042422e-09       1.159426930788e+44       1.291714073119e+33       6.961646760573e+33       8.003688637475e+43       1.687844921159e+41       1.961483639539e+44       2.386730589266e-12       3.852856129632e-03       1.755268313620e-66       6.374140699264e-57       8.270431029907e-18       1.999999999988e+00 
       7.999391317146e+13       1.180762291808e-25       5.791662260890e-09       1.381126327258e+22       1.416938464321e+04       1.771307850992e-10       1.133464524842e+18       1.133464524842e+18       3.343974145718e-09       1.127523238606e+44       1.264963457011e+33       6.817475272590e+33       7.783452922889e+43       1.641400869027e+41       1.907509931845e+44       2.543846002936e-12       3.951507894155e-03       2.026486223725e-66       7.107728058306e-57       8.386622315445e-18       1.999999999987e+00 
       7.943784823382e+13       1.197350821245e-25       5.831680027768e-09       1.361991705784e+22       1.416938464321e+04       1.783707005949e-10       1.125585426854e+18       1.125585426854e+18       3.367381964738e-09       1.096497433204e+44       1.238766829961e+33       6.676289488803e+33       7.569277385326e+43       1.596234807517e+41       1.855021406623e+44       2.706033095345e-12       4.048792067913e-03       2.330582677906e-66       7.902888373745e-57       8.504445972354e-18       1.999999999986e+00 
       7.888564869297e+13       1.214172402933e-25       5.873516784050e-09       1.343122182245e+22       1.416938464321e+04       1.796192954990e-10       1.117761099160e+18       1.117761099160e+18       3.390953638491e-09       1.066325357967e+44       1.213112719190e+33       6.538027577087e+33       7.360995268247e+43       1.552311570444e+41       1.803977196440e+44       2.873299728797e-12       4.144727516718e-03       2.670591181246e-66       8.763199545296e-57       8.623924933819e-18       1.999999999986e+00 
       7.833728767921e+13       1.231230311021e-25       5.913534550928e-09       1.324514083881e+22       1.416938464321e+04       1.808766305675e-10       1.109991161033e+18       1.109991161033e+18       3.414690313961e-09       1.036983520993e+44       1.187989889516e+33       6.402628985822e+33       7.158444403715e+43       1.509596959286e+41       1.754337558399e+44       3.045654020504e-12       4.239334863784e-03       3.049754285979e-66       9.692385377098e-57       8.745082455213e-18       1.999999999985e+00 
       7.779273850965e+13       1.248527865661e-25       5.955371307209e-09       1.306163788812e+22       1.416938464321e+04       1.821427669815e-10       1.102275234392e+18       1.102275234392e+18       3.438593146158e-09       1.008449076800e+44       1.163387338429e+33       6.270034417376e+33       6.961467086133e+43       1.468057716554e+41       1.706063843204e+44       3.223104400795e-12       4.332630657888e-03       3.471534746751e-66       1.069432085400e-56       8.867942118626e-18       1.999999999984e+00 
       7.725197468684e+13       1.266068433645e-25       5.997208063491e-09       1.288067725339e+22       1.416938464321e+04       1.834177663504e-10       1.094612943786e+18       1.094612943786e+18       3.462663298181e-09       9.806998085426e+43       1.139294291273e+33       6.140185802134e+33       6.769909949452e+43       1.427661499897e+41       1.659118465060e+44       3.405659499930e-12       4.424637060954e-03       3.939627197343e-66       1.177303758287e-56       8.992527837449e-18       1.999999999984e+00 
       7.671496989756e+13       1.283855429070e-25       6.039044819772e-09       1.270222371246e+22       1.416938464321e+04       1.847016907148e-10       1.087003916371e+18       1.087003916371e+18       3.486901941268e-09       9.537141107086e+43       1.115700196532e+33       6.013026273070e+33       6.583623847764e+43       1.388376856921e+41       1.613464872413e+44       3.593328267451e-12       4.515367147080e-03       4.457970371108e-66       1.293272942330e-56       9.118863861037e-18       1.999999999983e+00 
       7.618169801148e+13       1.301892313993e-25       6.080881576054e-09       1.252624253114e+22       1.416938464321e+04       1.859946025498e-10       1.079447781898e+18       1.079447781898e+18       3.511310254857e-09       9.274709723012e+43       1.092594721203e+33       5.888500140836e+33       6.402463739176e+43       1.350173200701e+41       1.569067519489e+44       3.786119820898e-12       4.604839633897e-03       5.030759888587e-66       1.417775827430e-56       9.246974779419e-18       1.999999999983e+00 
