#scalar perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:dU_nlde               22:dV_nlde            
       2.215338364090e+02       6.719928503975e-04      -2.504893327778e+00       4.339144421714e-03       1.841192562507e-03       4.374659236563e-03       1.083367045683e-05       8.749769287254e-04      -1.879232213844e+00       4.355401422975e-03       5.475891978141e-01       5.750897675898e-01      -2.364192974716e+00       2.522766177814e-03       1.149389247878e-01      -1.995768163292e+00       6.164697349440e-03      -2.357608569629e+00       2.539481430677e-03       1.144064033769e-01      -1.234209098089e-01       6.582994218274e-11 
       2.221555287733e+02       6.744245814564e-04      -2.509924200844e+00       4.341843498597e-03       1.863713536915e-03       4.420940705136e-03       1.107488155548e-05       8.842347216986e-04      -1.883015574053e+00       4.358419951054e-03       5.473655341191e-01       5.747315341750e-01      -2.367712667253e+00       2.512085674431e-03       1.151813491108e-01      -2.000679903456e+00       6.179154289918e-03      -2.361077975824e+00       2.529035434086e-03       1.146454887137e-01      -1.258368554037e-01       6.669833663618e-11 
       2.227855001692e+02       6.768918148960e-04      -2.515023001761e+00       4.344527587292e-03       1.887529218541e-03       4.469312328930e-03       1.133168190046e-05       8.939106614033e-04      -1.886850222995e+00       4.361441467693e-03       5.471385855336e-01       5.743688623952e-01      -2.371268833012e+00       2.501170915313e-03       1.154241136478e-01      -2.005665219672e+00       6.193788689454e-03      -2.364582769591e+00       2.518361591878e-03       1.148848740682e-01      -1.282922095800e-01       6.758704567786e-11 
       2.234242375705e+02       6.793965853981e-04      -2.520193655779e+00       4.347196802476e-03       1.912703650471e-03       4.519992622251e-03       1.160530008401e-05       9.040484625922e-04      -1.890739129970e+00       4.364466699243e-03       5.469081680275e-01       5.740014880671e-01      -2.374863706357e+00       2.490010065291e-03       1.156672712689e-01      -2.010728281838e+00       6.208611244856e-03      -2.368125173366e+00       2.507448237162e-03       1.151246143801e-01      -1.307890960433e-01       6.849717010177e-11 
       2.240722662831e+02       6.819410898583e-04      -2.525440397472e+00       4.349851017491e-03       1.939320672425e-03       4.573194063936e-03       1.189722580076e-05       9.146906344284e-04      -1.894685498613e+00       4.367496881877e-03       5.466740830018e-01       5.736291264062e-01      -2.378499690456e+00       2.478590303078e-03       1.159108770768e-01      -2.015873593461e+00       6.223633485337e-03      -2.371707534457e+00       2.496282965168e-03       1.153647635553e-01      -1.333298097205e-01       6.942990364615e-11 
       2.247301529785e+02       6.845277006666e-04      -2.530767794873e+00       4.352490006247e-03       1.967479822164e-03       4.629132016479e-03       1.220916990522e-05       9.258802646917e-04      -1.898692785505e+00       4.370533420865e-03       5.464361131942e-01       5.732514704791e-01      -2.382179368635e+00       2.466897732055e-03       1.161549880940e-01      -2.021106019054e+00       6.238867835990e-03      -2.375332362382e+00       2.484852317201e-03       1.156053767479e-01      -1.359168309777e-01       7.038654188638e-11 
       2.253985091567e+02       6.871589808396e-04      -2.536180777201e+00       4.355113460695e-03       1.997294335305e-03       4.688030703095e-03       1.254305657252e-05       9.376622154920e-04      -1.902764721356e+00       4.373577825551e-03       5.461940224411e-01       5.728681894060e-01      -2.385905517512e+00       2.454917279405e-03       1.163996629276e-01      -2.026430815432e+00       6.254327690548e-03      -2.379002353224e+00       2.473141696274e-03       1.158465105988e-01      -1.385528417634e-01       7.136849232704e-11 
       2.266010002743e+02       6.919020194456e-04      -2.545921534802e+00       4.359686609963e-03       2.054117821811e-03       4.799492372888e-03       1.318995600780e-05       9.599589245193e-04      -1.910092969078e+00       4.378955081902e-03       5.457262711919e-01       5.721795847119e-01      -2.392578516152e+00       2.433105325493e-03       1.168313872561e-01      -2.036034106360e+00       6.282099731821e-03      -2.386042839420e+00       2.450284075307e-03       1.163019870250e-01      -1.433150777233e-01       7.316100927660e-11 
       2.267411510476e+02       6.924555667127e-04      -2.547056964337e+00       4.360207446890e-03       2.061014665995e-03       4.812957348678e-03       1.326942485287e-05       9.626524648863e-04      -1.910947248526e+00       4.379573195772e-03       5.456752150972e-01       5.720994106543e-01      -2.393353641716e+00       2.430541731129e-03       1.168809908236e-01      -2.037155296249e+00       6.285332978633e-03      -2.386807287298e+00       2.447770890172e-03       1.163508705892e-01      -1.438717388430e-01       7.337210095888e-11 
       2.268818193519e+02       6.930113143204e-04      -2.548196614137e+00       4.360727593455e-03       2.067995765351e-03       4.826573672112e-03       1.335007587887e-05       9.653762845991e-04      -1.911804716946e+00       4.380191919444e-03       5.456239544279e-01       5.720189580718e-01      -2.394131077309e+00       2.427964191637e-03       1.169306270449e-01      -2.038281029331e+00       6.288577410156e-03      -2.387574000999e+00       2.445244059080e-03       1.163997852252e-01      -1.444307930767e-01       7.358443050887e-11 
