# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)rho_lambda         14:(.)rho_ur             15:(.)rho_crit           16:gr.fac. D             17:gr.fac. f          
       6.488926062786e+13       1.794448076792e-25       7.139533408917e-09       9.087930202853e+21       1.419596753721e+04       2.187722190059e-10       9.211658373869e+17       4.122372339466e-09       4.881901753529e+43       6.745814171431e+32       3.578108733562e+33       1.123348686505e+43       3.694949733521e-08       2.253797096734e+43       8.259047537193e+43       1.274546527892e-17       1.999999999971e+00 
       6.443819327494e+13       1.819658277823e-25       7.190465112217e-09       8.962022745306e+21       1.419596753721e+04       2.203036245390e-10       9.147624998877e+17       4.151228945842e-09       4.747567552147e+43       6.606112445646e+32       3.504008268826e+33       1.092437751322e+43       3.694949733521e-08       2.191779864853e+43       8.031785168738e+43       1.292452632062e-17       1.999999999971e+00 
       6.399026144483e+13       1.845222656968e-25       7.239577826113e-09       8.837859655014e+21       1.419596753721e+04       2.218457499108e-10       9.084036741685e+17       4.180287548462e-09       4.616929795014e+43       6.469303857990e+32       3.431442379835e+33       1.062377385445e+43       3.694949733521e-08       2.131469147306e+43       7.810776328173e+43       1.310610299089e-17       1.999999999970e+00 
       6.354544334144e+13       1.871146190076e-25       7.290509529412e-09       8.715416764886e+21       1.419596753721e+04       2.233986701601e-10       9.020890508128e+17       4.209549561301e-09       4.489886767898e+43       6.335328493324e+32       3.360379286454e+33       1.033144183950e+43       3.694949733521e-08       2.072817986318e+43       7.595848938566e+43       1.329023063181e-17       1.999999999970e+00 
       6.310371732019e+13       1.897433922900e-25       7.341441232711e-09       8.594670242649e+21       1.419596753721e+04       2.249624608512e-10       8.958183225550e+17       4.239016408230e-09       4.366339555416e+43       6.204127677316e+32       3.290787866697e+33       1.004715385939e+43       3.694949733521e-08       2.015780716242e+43       7.386835657987e+43       1.347694508195e-17       1.999999999969e+00 
       6.266506188699e+13       1.924090972082e-25       7.394191925414e-09       8.475596586211e+21       1.419596753721e+04       2.265371980772e-10       8.895911842651e+17       4.268689523087e-09       4.246191964015e+43       6.075643950744e+32       3.222637643094e+33       9.770688568194e+42       3.694949733521e-08       1.960312928001e+43       7.183573749218e+43       1.366628268341e-17       1.999999999969e+00 
       6.222945569711e+13       1.951122526149e-25       7.445123628713e-09       8.358172619087e+21       1.419596753721e+04       2.281229584637e-10       8.834073329345e+17       4.298570349748e-09       4.129350447082e+43       5.949821044330e+32       3.155898769345e+33       9.501830710739e+42       3.694949733521e-08       1.906371434514e+43       6.985904953045e+43       1.385828028882e-17       1.999999999968e+00 
       6.179687755423e+13       1.978533846519e-25       7.497874321416e-09       8.242375485887e+21       1.419596753721e+04       2.297198191730e-10       8.772664676609e+17       4.328660342196e-09       4.015724032103e+43       5.826603854103e+32       3.090542017250e+33       9.240370954964e+42       3.694949733521e-08       1.853914237069e+43       6.793675365035e+43       1.405297526860e-17       1.999999999968e+00 
       6.136730640936e+13       2.006330268528e-25       7.550625014119e-09       8.128182647869e+21       1.419596753721e+04       2.313278579072e-10       8.711682896335e+17       4.358960964591e-09       3.905224249834e+43       5.705938417256e+32       3.026538763907e+33       8.986105728956e+42       3.694949733521e-08       1.802900492622e+43       6.606735315711e+43       1.425040551814e-17       1.999999999968e+00 
       6.094072135984e+13       2.034517202471e-25       7.603375706822e-09       8.015571878548e+21       1.419596753721e+04       2.329471529126e-10       8.651125021186e+17       4.389473691343e-09       3.797765065421e+43       5.587771888524e+32       2.963860979176e+33       8.738837062445e+42       3.694949733521e-08       1.753290482000e+43       6.424939254018e+43       1.445060946526e-17       1.999999999967e+00 
       6.051710164830e+13       2.063100134648e-25       7.656126399525e-09       7.904521259377e+21       1.419596753721e+04       2.345777829829e-10       8.590988104455e+17       4.420200007182e-09       3.693262811410e+43       5.472052517032e+32       2.902481213405e+33       8.498372432663e+42       3.694949733521e-08       1.705045578972e+43       6.248145633994e+43       1.465362607764e-17       1.999999999967e+00 
       6.009642666167e+13       2.092084628439e-25       7.708877092227e-09       7.795009175472e+21       1.419596753721e+04       2.362198274638e-10       8.531269219916e+17       4.451141407232e-09       3.591636122609e+43       5.358729623637e+32       2.842372585408e+33       8.264524614451e+42       3.694949733521e-08       1.658128220178e+43       6.076216804570e+43       1.485949487040e-17       1.999999999966e+00 
       5.967867593016e+13       2.121476325384e-25       7.763446774334e-09       7.687014311413e+21       1.419596753721e+04       2.378733662561e-10       8.471965461684e+17       4.482299397082e-09       3.492805872730e+43       5.247753578728e+32       2.783508770691e+33       8.037111534480e+42       3.694949733521e-08       1.612501875877e+43       5.909018902386e+43       1.506825591383e-17       1.999999999966e+00 
