#tensor perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:shear_g                5:l4_g                   6:pol0_g                 7:pol2_g                 8:pol4_g                 9:H (gw)                10:Hdot (gwdot)          11:delta_ur              12:shear_ur              13:l4_ur              
       2.284121633120e+02       6.960332824837e-04      -6.966010548002e-03      -8.910181516264e-08      -5.860362521782e-12       1.626211539614e-03       4.186066118105e-08       1.378593864899e-12       1.596842187013e-01      -1.563147472458e-03      -5.077926589450e-01      -1.918628679221e-02      -1.480819825805e-03 
       2.285564174174e+02       6.966011982436e-04      -6.989137762705e-03      -8.998273329664e-08      -5.951982085706e-12       1.630823828176e-03       4.226237261333e-08       1.400128143022e-12       1.594587481499e-01      -1.562871470866e-03      -5.081191298108e-01      -1.922776992270e-02      -1.486077757152e-03 
       2.287012395190e+02       6.971715131418e-04      -7.012548475994e-03      -9.088042118246e-08      -6.045873643595e-12       1.635482971125e-03       4.267123322614e-08       1.422171808558e-12       1.592324299767e-01      -1.562592832616e-03      -5.084464628838e-01      -1.926947076925e-02      -1.491371268779e-03 
       2.288466371731e+02       6.977442588695e-04      -7.036247469437e-03      -9.179529792234e-08      -6.142109465043e-12       1.640189923364e-03       4.308742562498e-08       1.444741159975e-12       1.590052530761e-01      -1.562311525663e-03      -5.087746695438e-01      -1.931139215502e-02      -1.496700843637e-03 
       2.289926179878e+02       6.983194673633e-04      -7.060239601716e-03      -9.272779470798e-08      -6.240764460599e-12       1.644945646826e-03       4.351113728004e-08       1.467853074594e-12       1.587772062776e-01      -1.562027517486e-03      -5.091037611627e-01      -1.935353693199e-02      -1.502066971160e-03 
       2.291391896827e+02       6.988971710434e-04      -7.084529820333e-03      -9.367835561643e-08      -6.341916335568e-12       1.649751112790e-03       4.394256086888e-08       1.491525042609e-12       1.585482782516e-01      -1.561740774966e-03      -5.094337492381e-01      -1.939590799858e-02      -1.507470149570e-03 
       2.292863601084e+02       6.994774028887e-04      -7.109123166911e-03      -9.464743818247e-08      -6.445645724839e-12       1.654607302889e-03       4.438189451558e-08       1.515775196494e-12       1.583184574811e-01      -1.561451264336e-03      -5.097646454322e-01      -1.943850830542e-02      -1.512910886690e-03 
       2.294341372490e+02       7.000601964496e-04      -7.134024780048e-03      -9.563551389374e-08      -6.552036323719e-12       1.659515209634e-03       4.482934199361e-08       1.540622339353e-12       1.580877322568e-01      -1.561158951170e-03      -5.100964615751e-01      -1.948134085665e-02      -1.518389700182e-03 
       2.295825292254e+02       7.006455858609e-04      -7.159239898248e-03      -9.664306870558e-08      -6.661175025139e-12       1.664475836920e-03       4.528511293653e-08       1.566085974620e-12       1.578560906734e-01      -1.560863800364e-03      -5.104292096683e-01      -1.952440871108e-02      -1.523907117788e-03 
       2.297315442981e+02       7.012336058551e-04      -7.184773862941e-03      -9.767060357805e-08      -6.773152063752e-12       1.669490200558e-03       4.574942305737e-08       1.592186337236e-12       1.576235206255e-01      -1.560565776121e-03      -5.107629018874e-01      -1.956771498347e-02      -1.529463677580e-03 
       2.298811908705e+02       7.018242917761e-04      -7.210632121637e-03      -9.871863503676e-08      -6.888061167348e-12       1.674559328802e-03       4.622249437752e-08       1.618944426390e-12       1.573900098024e-01      -1.560264841935e-03      -5.110975505859e-01      -1.961126284590e-02      -1.535059928221e-03 
