#scalar perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]      
       2.191015205207e+02       6.597208169964e-04      -2.485864475990e+00       4.326634106420e-03       1.741195800488e-03       4.165755299261e-03       9.787650983249e-06       8.331898142102e-04      -1.864917769203e+00       4.341563185700e-03       5.480837638085e-01       5.763856013149e-01      -2.350996672718e+00       2.562703606764e-03       1.140034136149e-01      -1.977440496335e+00       6.112952069723e-03      -2.346533546560e+00       2.573748611406e-03       1.136452782168e-01 
       2.196876289289e+02       6.619867925809e-04      -2.490613796900e+00       4.329320849695e-03       1.759079335588e-03       4.203629702521e-03       9.971271363523e-06       8.407657800616e-04      -1.868488583489e+00       4.344502017187e-03       5.478719969950e-01       5.760438264565e-01      -2.354362656886e+00       2.552935533614e-03       1.142421104776e-01      -1.982052687591e+00       6.126647246077e-03      -2.349867049969e+00       2.564129322854e-03       1.138818571265e-01 
       2.202799524314e+02       6.642795140005e-04      -2.495414486022e+00       4.331992152725e-03       1.777645154224e-03       4.242889234634e-03       1.016363057642e-05       8.486188346509e-04      -1.872098169588e+00       4.347434771658e-03       5.476578022537e-01       5.756987047781e-01      -2.357755436472e+00       2.542980933753e-03       1.144808330198e-01      -1.986721105474e+00       6.140474240363e-03      -2.353226792387e+00       2.554326823017e-03       1.141184448356e-01 
       2.208787254451e+02       6.665999762470e-04      -2.500268432729e+00       4.334647716755e-03       1.796909644354e-03       4.283594366198e-03       1.036516595759e-05       8.567610760666e-04      -1.875747957072e+00       4.350361533592e-03       5.474410965232e-01       5.753501105309e-01      -2.361175992900e+00       2.532833491026e-03       1.147195806780e-01      -1.991447819759e+00       6.154438098920e-03      -2.356613778425e+00       2.544334947614e-03       1.143550429278e-01 
       2.214841997658e+02       6.689492471051e-04      -2.505177666449e+00       4.337286986791e-03       1.816922532761e-03       4.325806757744e-03       1.057657949813e-05       8.652048418348e-04      -1.879439481640e+00       4.353282960747e-03       5.472217812847e-01       5.749979085126e-01      -2.364625384387e+00       2.522486450966e-03       1.149583539288e-01      -1.996235051206e+00       6.168544247090e-03      -2.360029006524e+00       2.534147063301e-03       1.145916497945e-01 
       2.220966959801e+02       6.713286675325e-04      -2.510144772964e+00       4.339908975891e-03       1.837831173027e-03       4.369615293605e-03       1.079934472905e-05       8.739679186033e-04      -1.883174699075e+00       4.356201352412e-03       5.469997074780e-01       5.746419243298e-01      -2.368105035156e+00       2.511931715706e-03       1.151971736453e-01      -2.001085580188e+00       6.182799681298e-03      -2.363473871411e+00       2.523755399837e-03       1.148282850388e-01 
       2.227167197965e+02       6.737403062152e-04      -2.515173837095e+00       4.342512926905e-03       1.859906124669e-03       4.415193079215e-03       1.103595855644e-05       8.830849441387e-04      -1.886956695815e+00       4.359120661998e-03       5.467746205557e-01       5.742818772269e-01      -2.371617386338e+00       2.501157759581e-03       1.154361238904e-01      -2.006003674438e+00       6.197215660836e-03      -2.366950625050e+00       2.513148989250e-03       1.150650222259e-01 
       2.233448645630e+02       6.761865843946e-04      -2.520269653608e+00       4.345099998106e-03       1.883252894742e-03       4.462782636410e-03       1.128779078426e-05       8.926044360736e-04      -1.890789094286e+00       4.362041225608e-03       5.465462811109e-01       5.739174370902e-01      -2.375165329703e+00       2.490151206884e-03       1.156753104537e-01      -2.010994326466e+00       6.211805422330e-03      -2.370462104477e+00       2.502314916893e-03       1.153019648775e-01 
       2.239816035220e+02       6.786694677526e-04      -2.525436042971e+00       4.347670354635e-03       1.907927833271e-03       4.512604555617e-03       1.155597082054e-05       9.025705239623e-04      -1.894674784688e+00       4.364963350595e-03       5.463145076639e-01       5.735483449365e-01      -2.378751030826e+00       2.478900451069e-03       1.159147806939e-01      -2.016061605839e+00       6.226579353036e-03      -2.374010503372e+00       2.491241493963e-03       1.155391650795e-01 
       2.246274469496e+02       6.811910777074e-04      -2.530677125045e+00       4.350223809822e-03       1.934008618734e-03       4.564869948761e-03       1.184190669626e-05       9.130254430020e-04      -1.898616883891e+00       4.367888082114e-03       5.460791070175e-01       5.731743216865e-01      -2.382376818122e+00       2.467392925843e-03       1.161545838560e-01      -2.021209905711e+00       6.241548644089e-03      -2.377598132382e+00       2.479916495567e-03       1.157766725895e-01 
